Pointer,Original,Translated
475136,"ヘんどうの こうかが はっせいした!<S3c>\
<S02>こうどうせいこうリつが さがった!<S3c><*4>","Inflicted Flux status!<S3c>\
<S02>Success rate down!<S3c><*4>"
475138,"ていしの こうかが はっせいした!<S3c>\
<S02>しばらくのあいだ うごけない!<S3c><*4>","Inflicted Stop status!<S3c>\
<S02>Unable to move!<S3c><*4>"
475140,"そくばくの こうかが はっせいした!<S3c>\
<S02>スピードが おそくなった!<S3c><*4>","Inflicted Bind status!<S3c>\
<S02>Speed decreased!<S3c><*4>"
475142,"けいぞくの こうかが はっせいした!<S3c>\
<S02>いどうちゅうも ダメージを うける!<S3c><*4>","Inflicted Burn status!<S3c>\
<S02>Continual damage!<S3c><*4>"
475144,"<&c6a2> は
ヘんどう から かいじょされた!<S3c><*1>","<&MEDA>'s Flux status was cleared!<S3c><*1>"
475146,"<&c6a2> は
ていし から かいじょされた!<S3c><*1>","<&MEDA>'s Stop status was cleared!<S3c><*1>"
475148,"<&c6a2> は
そくばく から かいじょされた!<S3c><*1>","<&MEDA>'s Bind status was cleared!<S3c><*1>"
475150,"<&c6a2> は
けいぞく から かいじょされた!<S3c><*1>","<&MEDA>'s Burn status was cleared!<S3c><*1>"
475152,"<&c6a2> は
かいじょするものが なかった!<S3c><*4>","There are no status effects to clear!<S3c><*4>"
475154,"<&c6a2> は かいじょに しっぱいした!<S3c><*4>","<&MEDA>'s clear failed!<S3c><*4>"
475156,"<&c6a2> は ヘんどうの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Flux status!<S3c><*4>"
475158,"<&c6a2> は
ていしの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Stop status!<S3c><*4>"
475160,"<&c6a2> は
そくばくの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Bind status!<S3c><*4>"
475162,"<&c6a2> は
けいぞくの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Burn status!<S3c><*4>"
475164,"しかし ばくふうで ダメージをうけた<S3c><*4>","...But it took damage from the blast!<S3c><*4>"
475166,"てんたいかんそくじょ","Observatory"
475168,"てんたいかんそくじょ","=0x7401e"
475170,"ほんたいかいかいじょう","Tournament Hall"
475172,"せんしゅホテル","Tournament Hotel"
475174,"ゆにゅうひんや","Import Shop"
475176,"メダロットけんきゅうじょ","Medarot Laboratory"
475178,"パディのいえ","Paddy's house"
475180,"あがた イネサク
    ヨネ","Inesaku &
Yone Agata"
475182,"イタコのいえ","Wise woman's house"
475184,"メダルきねんかん","Medal Museum"
475186,"ペットショップ","Pet Shop"
475188,"ふくびきしょ","Lottery Shop"
475190,"バー","Bar"
475192,"むしはかせ けんきゅうじょ","Insect Professor's Lab"
475194,"にんじゃやしき","Ninja Mansion"
475196,"メダロットしゃ","Medarot Company"
475198,"ユウキのいえ","Yuuki's house"
475200,"やくば","Town Hall"
475202,"あがた ベイスケ
    マイコ 

あがた <&NAME>
    ボナパルト","Beisuke &
Maiko Agata, 

<&NAME> Agata, 
Bonaparte"
475204,"キララのいえ","Kirara's house"
475206,"イセキのいえ","Iseki's house"
475208,"クボタのいえ","Kubota's house"
475210,"ヤンマのいえ","Yanma's house"
475212,"こっとうひんや","Antiques"
475214,"セレクトしぶ","Select Office"
475216,"セレクトほんしゃビル","Select Headquarters"
475218,"そんちょうのいえ","Mayor's house"
475220,"ねこまねきだ","It's a beckoning cat."
475222,"ぽこぽこたぬきだ","Looks like a Tanuki."
475224,"みたことのないむしだ","There's a bunch of insects that I've never seen before."
475226,"しんがたパーツが いっぱいある","They're full of new parts."
475228,"す すごいメダルだ!","Cool Medal!"
475230,"ほかのひとの パソコンは
みちゃいけないぞ","I shouldn't mess with other people's computers."
475232,"メダロットグッズが やまづみだ","Medarot goods line the shelves."
475234,"パーツの じどうはんばいきだ!
だけど ぜんぶ うリきれだ!","It's a vending machine for parts!
...But everything's sold out."
475236,"メダロットが でます
エサを あたえないでください",""Please do not feed the Medarots""
475238,"きけん!!
うちゅうじんが でます",""Danger!! Beware of aliens""
475240,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>",""<&MEDA>" Medal leveled up!

<*4>"
475242,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475244,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475246,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475248,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475250,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475252,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475254,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475256,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475258,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475260,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475262,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475264,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475266,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475268,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475270,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475272,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475274,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475276,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475278,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475280,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475282,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475284,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475286,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475288,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475290,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475292,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475294,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475296,"メダル 「<&c6a2>」 は
レベルアップした!

<*4>","=0x74068"
475298,"なぐるが <&c6a2> あがった!

<*4>","Strike skill increased by <&c6a2>!

<*4>"
475300,"がむしゃらが <&c6a2> あがった!

<*4>","Berserk skill increased by <&c6a2>!

<*4>"
475302,"うつが <&c6a2> あがった!

<*4>","Shoot skill increased by <&c6a2>!

<*4>"
475304,"ねらいうちが <&c6a2> あがった!

<*4>","Snipe skill increased by <&c6a2>!

<*4>"
475306,"おうえんが <&c6a2> あがった!

<*4>","Support skill increased by <&c6a2>!

<*4>"
475308,"まもるが <&c6a2> あがった!

<*4>","Protect skill increased by <&c6a2>!

<*4>"
475310,"なおすが <&c6a2> あがった!

<*4>","Heal skill increased by <&c6a2>!

<*4>"
475312,"そのほかが <&c6a2> あがった!

<*4>","Other skill increased by <&c6a2>!

<*4>"
475314,"メダル 「<&c6a2>」 は
ランクアップした!

<*4>",""<&c6a2>" Medal's rank went up!

<*4>"
475316,"さあ せんとうかいし!<*3>","Let the battle begin!<*3>"
475318,"さあ せんとうかいし!<*3>","=0x740b4"
475320,"さあ せんとうかいし!<*3>","=0x740b4"
475322,"さあ せんとうかいし!<*3>","=0x740b4"
475324,"さあ せんとうかいし!<*3>","=0x740b4"
475326,"さあ せんとうかいし!<*3>","=0x740b4"
475328,"さあ せんとうかいし!<*3>","=0x740b4"
475330,"さあ せんとうかいし!<*3>","=0x740b4"
475332,"さあ せんとうかいし!<*3>","=0x740b4"
475334,"さあ せんとうかいし!<*3>","=0x740b4"
475336,"さあ せんとうかいし!<*3>","=0x740b4"
475338,"さあ せんとうかいし!<*3>","=0x740b4"
475340,"さあ せんとうかいし!<*3>","=0x740b4"
475342,"さあ せんとうかいし!<*3>","=0x740b4"
475344,"さあ せんとうかいし!<*3>","=0x740b4"
475346,"さあ せんとうかいし!<*3>","=0x740b4"
475348,"さあ せんとうかいし!<*3>","=0x740b4"
475350,"さあ せんとうかいし!<*3>","=0x740b4"
475352,"さあ せんとうかいし!<*3>","=0x740b4"
475354,"さあ せんとうかいし!<*3>","=0x740b4"
475356,"さあ せんとうかいし!<*3>","=0x740b4"
475358,"さあ せんとうかいし!<*3>","=0x740b4"
475360,"さあ せんとうかいし!<*3>","=0x740b4"
