Pointer,Original,Translated
393216,"むこうに メダロットが
いっぱい すてられてるぞ","There's a bunch of trashed Medarots over at the back."
393218,"うちゅうじんが メダルを
もってきたって ほんとうかしら？","Have aliens really come to bring us Medals?"
393220,"あっ <&NAME>さん
こんにちは

よぞらに いちばんちかいばしょで
ねがいごとをすると

おもいが とどきやすい そうですよ

かがくてきには
なんのこんきょも ないんですけど

でも そういうはなしって
ステキだと おもいませんか？<*4>","Ah, <&NAME>. Hello.
They say if you make a wish when you're
closer to the stars, it's more likely to come true.
There's no basis in science, but it's good to think like that, right?<*4>"
393222,"いいこと してあげるから
パーツのリストを みせてちょうだい<*4>","If you show me the parts you've gained, I'll give you
something good. So how about it?<*4>"
393224,"ホホホッ
パーツは「ちょうだい」したわよ","Hohohoo!
I'll be taking those parts!"
393226,"パーツが とられてしまった!","My parts got stolen!"
393228,"よく みやぶったわね","You saw right through me!"
393230,"こんなところに
さっきとられた パーツがおちている","This place is littered with stolen parts."
393232,"そのパーツは・・・
おっ おぼえてらっしゃい!","I...I remember that part!"
393234,"おみやげに
ほしのかけらを かいませんか？<*4>","Will you buy this Star Piece as a souvenir?"
393236,"あリがとう","Thanks."
393238,"あリがとう ございます
300円になリます","Thank you very much. That'll be 300¥."
393240,"おお! おちていたメダルを
とどけてくれたのか

なかなか えらいじゃないか
では あずかっておこう

と いいたいところだが しょうじきに
とどけてくれた ごほうびだ

そのメダルを きみに あげよう

でも ちゃんと パパに
ほうこくするんだぞ","Oh! You've come to return a lost Medal?
What an honest young man.

Well, I would take it off your hands, but...
Why not hold onto it? You can think of it as your reward for turning it in.
Alright, it's settled. The Medal is yours!
Be sure to tell to your parents about it."
393242,"たとえ
うちゅうじんが せめてきても

セレクトたいが いるから
ちきゅうは だいじょうぶだよね","Even if aliens are invading, we have the Select Force
to protect us. As long as they're around, Earth is as good as safe."
393244,"おおきくなったら セレクトたいに
はいろうと おもってたのに","When I grow up, I want to join the Select Force."
393246,"んっ？
みたことない ほしがあるぞ","Hm?
I've never seen a star like that before."
393248,"あっ ほしがうごいたっ!？

なんだ
ただのえんばんか","Ah! The star is moving?!
Oh, it's just a UFO."
