Pointer,Original,Translated
245248,"こんにちは <&NAME>さん
あの・・・

こんど あそびに
いっても いいですか？","Hello, <&NAME>.
Um...
Where would you like to play this time?"
245250,"こんどの おやすみのひに
あそびに いきますね","Today I'm gonna go play outside."
245252,"わたし ずっと まってますから","Since I've been waiting so long..."
245254,"フフフッ そんなこうげきでは
このメダロットは とめられないロボ","Fufufuu, you think you can stop me
with that an attack like that!"
245256,"たいせつに もっていれば
きっと いいことがあリますよ","If you take good care of it, something good is bound to happen."
245258,"おかねを とられた!","It took my money!"
245260,"これは ぼくのパソコンだ","It's my computer."
245262,"<&NAME>の パパって
セレクトビルの けんちくの

おしごとしてるでしょ？

いきなリ たずねていって
おどろかすってのは どう？

えっ？

べつに セレクトビルに いけ!

・・って いってるわけじゃないのよ","Hey, <&NAME>. Your father is working at Select, isn't he?
How about giving him a visit?
Huh?
Well "head over there right away!" isn't exactly something I would say but still."
245264,"あれっ
つぎは どこだっけ・・・

あっ そうそう
いせきよ いせき!

パパも・・・

いいわよ!
あそこは ロマンがあって・・・

ねっ♥
いってらっしゃいよ♥

まちがっても
「イセキのいえ」じゃないからね!","Hmm, what was that place again...?
Ah, right! Right! The Ruins!
Your father is going too...
It's great! It's very adventurous...
Well, go on now. ♥
Don't get lost"
245266,"なわばしごが なくなっている","The rope ladder disappeared."
