Pointer,Original
0x33e00,ごめんなさい<4E>まだじゅんびちゅうなの<4C>メダロットのパーツのことなら<4E>コンビニをよろしくね
0x33e02,フフフおもいしったかロボ
0x33e04,じんじゃのむこうに<4E>ロボロボだんのきちがあるんだよ
0x33e06,ロボロボだんのきちが<4E>なくなってたんだ
0x33e08,ボナパルトのやつ<4E>どこまでいったんだ？<4C>しょうがないさがしにいくか
0x33e0a,かいだんは<4E>とちゅうでなくなっている
0x33e0c,いてっ!!<4C>なにもこわれなかった
0x33e0e,うわっ!？<4E>すべった!
0x33e10,そのまえにとっくんしていく？<*4>
0x33e12,いいじゃない<4E>そのちょうしよ!
0x33e14,うーん<4E>もうちょっとかな？
0x33e16,カカカ・・・
0x33e18,ケケケケッ・・・
0x33e1a,ホーッホッホッホ!!<4C>ここわい・・・
0x33e1c,シノビックパークヘようこそ<4E>ふリかえらずにおすすみください
0x33e1e,たちいリきんしのふだが<4E>かけられている
0x33e20,メダロットのあたまパーツが<4E>たくさんおいてある
0x33e22,あれっ？<4E>いまのひときえちゃった
0x33e24,おまえニハまけたヨ<4E>またどこかであおう
0x33e26,ななんだったんだ？<4C>いまのゆめは・・・
0x33e28,
0x33e2a,
0x33e2c,
0x33e2e,
0x33e30,
0x33e32,
0x33e34,
0x33e36,
0x33e38,
0x33e3a,
0x33e3c,
0x33e3e,
