Pointer[#version],Original,Translated
0x60000,むこうに メダロットが<4E>いっぱい すてられてるぞ,There's a bunch of trashed Medarots over at the back.
0x60002,うちゅうじんが メダルを<4E>もってきたって ほんとうかしら？,Is it true that aliens originally gave us Medals?
0x60004,あっ <&NAME>さん<4E>こんにちは<4C>よぞらに いちばんちかいばしょで<4E>ねがいごとをすると<4C>おもいが とどきやすい そうですよ<4C>かがくてきには<4E>なんのこんきょも ないんですけど<4C>でも そういうはなしって<4E>ステキだと おもいませんか？<*4>,"<@Nae>Ah. <49>Hello <&NAME>.<4C>They say if you make a wish when you're closer to the stars, it's more likely to come true.<4C>There's no basis in science, but it's a nice thought, right?<*4>"
0x60006,いいこと してあげるから<4E>パーツのリストを みせてちょうだい<*4>,Show me the parts you've gained.<49>I'll give you something good.<4C>How about it?<*4>
0x60008,ホホホッ<4E>パーツは「ちょうだい」したわよ,<@Reika>Hohohoo!<49>I'll be taking those parts!
0x6000a,パーツが とられてしまった!,<@HikaruSad>My parts got stolen!
0x6000c,よく みやぶったわね,<@ReikaSad>You saw right through me!
0x6000e,こんなところに<4E>さっきとられた パーツがおちている,This place is littered with stolen parts.
0x60010,そのパーツは・・・<4E>おっ おぼえてらっしゃい!,<@ReikaSad>Those parts...<49>Remember this!
0x60012,おみやげに<4E>ほしのかけらを かいませんか？<*4>,Will you buy this Star Piece as a souvenir? <*4>
0x60014,あリがとう,<@Researcher>Thanks.
0x60016,あリがとう ございます<4E>300円になリます,Thank you very much. That'll be 300¥.
0x60018,おお! おちていたメダルを<4E>とどけてくれたのか<4C>なかなか えらいじゃないか<4E>では あずかっておこう<4C>と いいたいところだが しょうじきに<4E>とどけてくれた ごほうびだ<4C>そのメダルを きみに あげよう<4C>でも ちゃんと パパに<4E>ほうこくするんだぞ,"<@Officer>Oh! You've come to return a lost Medal?<4C>What an honest young man!<4C>Well, I would take it off your hands, but...<4C>Why not hold onto it?<4C>You can think of it as your reward for turning it in.<4C>Alright, it's settled!<49>The Medal is yours!<4C>Be sure to tell your parents about it."
0x6001a,たとえ<4E>うちゅうじんが せめてきても<4C>セレクトたいが いるから<4E>ちきゅうは だいじょうぶだよね,"Even if aliens invade, we have the Select Force to protect us.<4C>As long as they're around, Earth is safe."
0x6001c,おおきくなったら セレクトたいに<4E>はいろうと おもってたのに,"When I grow up, I want to join the Select Force."
0x6001e,んっ？<4E>みたことない ほしがあるぞ,Hm?<4C>I've never seen a star like that before.
0x60020,あっ ほしがうごいたっ!？<4C>なんだ<4E>ただのえんばんか,Ah! The star is moving?!<4C>Oh.<49>it's just a UFO.
0x60022,あっ <&NAME>さん<4E>おぼえていて くれたんですね,"<@Nae>Ah, <&NAME>.<49>You remembered."
0x60024,ほしが とってもきれいですね<4C>いや きみのほうが・・・,"<@Nae>The stars look beautiful, don't they?<4C><@Hikaru>Not as beautiful as you..."
0x60026,おんなのこに ほしのかけらを<4E>プレゼントすると よろこばれるわよ,"If you give a pretty girl a Star Piece, I'm sure it would make her very happy."
0x60028,うちゅうせんを みるようになってから<4E>ロボロボだんが あらわれたんだよ,The RoboRobo Gang started showing up ever since we started seeing space ships.
0x6002a,すいせいが おちて<4E>メダルに なったんだって,They say Medals fell to Earth on a comet.
0x6002c,てんたいドームだと<4E>ほしが はっきリみえるのよ,You can see stars very clearly <49>from the observatory dome.
0x6002e,パーツは おのれの<4E>しんねんで えらぶのじゃぞ,Choose your parts wisely.
0x60030,おっ ぼうずも<4E>メダロット やってんのか<4C>おれが いいことを<4E>おしえてやろうか？<*4>,"<@Chickseller>Oh, so you're into Medarot too, kid?<4C>Want me to give you some advice?<*4>"
0x60032,ランクと レベルが かいひの<4E>じゅくれんどに なるんだよ,Ranking and Leveling up improves your Medarot's evasion.
0x60034,ランクアップしたときは いつもよリ<4E>じゅくれんどが おおくあがるのよ,"When your Medarot ranks up, its skills will increase more than usual."
0x60036,<&NAME> ボナパルトを<4E>さんぽに つれていってきなさい<4C>こうえんでは ともだちと<4E>なかよくするのよ,"<@Mom><&NAME>, could you take Bonaparte for a walk?<4C>You can play with the other kids in the park while you're there."
0x60038,・・・ にがしたか・・,<@FishermanSad>It got away...
0x6003a,いいルアーだな よかったら<4E>おじさんに くれないか？<*4>,<@Fisherman>That's a good lure you got there. Can I have it?<*4>
0x6003c,あリがとう<4E>かわリに これをやるよ,<@Fisherman>Thanks. You can have this.
0x6003e,じゃあ 1000円で かうぞ,"<@Fisherman>All right, I'll buy it for ¥1000."
0x60040,おおっ!<4E>よくつれるぞ このルアー,<@Fisherman>Oh! This is a very well-made lure.
0x60042,たいかいドームヘ ようこそ,Welcome to the Tournament Dome!
0x60044,メダルは ぜんぶで57しゅるいさ,There are 57 unique Medal forms.
0x60046,メダルは ぜんぶで28コあるのさ,There are 28 Medals in total.
0x60048,オラと しょうぶだ!,<@Worker>Fight me!
0x6004a,ケイタイを ひらいて メダルの<4E>じゅくれんどを みてみな<4C>メダロットを くみたてたときに<4E>メダルの したに でるだろう？<4C>それが そのメダロットが<4E>とくいな こうどうなのさ<4C>じゅくれんどは つかえば<4E>つかうほど あがっていくぜ<4C>はずれても いいから くリかえし<4E>れんしゅうすることが だいじなのさ<4C>じゅくれんどが ひくいままじゃ<4E>つよいやつには かすリもしない<4C>レベルのたかいやつを まかしたきゃ<4E>じゅくれんどを ガンガンあげな<4C>あたリにくいときゃ さくてきを<4E>つかうのも ひとつの てだぜ,"<@Chickseller>You can look at your Medarot's skills when you open up your Phone menu.<4C>Have you noticed something underneath its Medal?<49>That's the Medal's specialty.<4C>The more you use it, the more its power will increase, even if you miss the attack. <4C>Right now, its power may be weak...but if you fight powerful oppenents, it will increase<49>little by little.<4C>If you defeat high-leveled oppenents, its power will increase exponentially!<4C>If you find it difficult to hit your oppenents, try using <f02>Scan<f00>."
0x6004c,=0x6004a,=0x6004a
0x6004e,=0x6004a,=0x6004a
0x60050,んっ ぼうずか・・・<4E>ひとリものどうし ロボトルするか？<*4>,<@ChicksellerSad>Hey boy...<49>How about a Robottle between two single men?<*4>
0x60052,<&NAME> きょうもげんきだな<4C>スポーツもいいけど<4E>そろそろ メダロ・・・<4C>いや いいんだ なんでもない,"<@Dad>Good morning <&NAME>, you're looking good today.<4C>Sports are great and all, but you really should get into Meda...<4C>Er... Nevermind, forget it."
0x60054,=0x60052,=0x60052
0x60056,ロボトルしよーぜ!<4C>えっ メダロットを もってないって<4E>ちぇっ ださいやつ,"C'mon, let's Robottle!<4C>Huh? You don't have a Medarot? <49>Laaame."
0x60058,メダロットどうしを たたかわせる<4E>ロボトルが はやっているのよ<4C>メダロットの1たいも もってなきゃ<4E>おんなのこに もてないんだから,"Right now, it's super cool to have your Medarot fight in Robottles.<4C>If you don't have your own Medarot, you'll never be popular with the ladies!"
0x6005a,メダロットに ロボトルに<4E>パーツ ティンペット メダルっと<4C>うわーん<4E>こんがらがって きちゃった,"To have your Medarot Robottle, you need a Tinpet, Medal, parts...<4C>Auugh, it's so confusing!"
0x6005c,メダロットを あくようして わるさを<4E>している れんちゅうがいるんだ<4C>それが ロボロボだんさ<4E>ロボロボだんを みつけたら<4C>せいぎのみかた セレクトたいに<4E>まもってもらわなきゃ,"They say there's a group of bad guys going around using Medarots for evil deeds.<4C>They call themselves the RoboRobo Gang.<4C>If you see one of them, you should report it to the Select Force right away.<4C>They're the defenders of justice!"
0x6005e,さあ<4E>けっちゃくを つけようじゃないか,"<@Yuuki>Now, let's settle this."
0x60060,けっきょく<4E>きみだけには かてなかったな,<@YuukiSad>It seems that I can beat everyone except you.
0x60062,パ パパ・・・<4E>けっしょうの あいてってパパなの？<4C><&NAME>よ<4E>パパを ふみこえて おおきくなるんだ,<@Hikaru>D-Dad?<4C>My opponent for the semi-finals... is dad?<4C><@Dad><&NAME>...<4C>Surpass me and grow as a Medarotter!
0x60064,じゃ えんリょなく・・・<4E>ムギュッ<4C>パ パパは うれしいぞ<4E>こんな リっぱになって イタッ・・<4C>ゆうしょうしゃの<4E><&NAME>くんには<4C>セレクトたい たいちょう<4E>タイヨーとの ラストバトルに<4C>ちょうせんして もらいます,"<Hikaru>All right, go ahead...<49><@DadSad>*sniffle*<4C>...I-I'm so proud of you, son!!<49>You've grown so much...<4C><@Uruchi>The winner, <&NAME>, will now proceed to the Finals against Taiyo, commander of the Select Force!"
0x60066,がんばれよ <&NAME><4E>パパのゆめを かなえてくれ,"<@Dad>Do your best, <&NAME>.<49>Achieve your father's dream!"
0x60068,さいきょうの メダロッターをかけた<4E>このラストバトル<4C>めがみは どちらにほほえむのか!？<4C><&NAME>くんは<4E>やるきまんまんです <4C>それでは ロボトルファイト!!,"<@Uruchi>The strongest Medarotters are going head to head<49>in this final battle.<4C>Who will Lady Luck smile upon today?<4C><&NAME> sure looks determined!<4C>That said, Robottle Fight!"
0x6006a,しょうしゃは <&NAME>くん!<4C>セレクトたい たいちょうをうちやぶリ<4E>えいこうの ざを かちとリました!<4C>ただでは すまさんぞ!,<@Uruchi>The winner is <&NAME>!<4C>He completely trounced the Select Force Commander in this heated battle!<4C><@TaiyoSad>Don't think I'm done just yet!
0x6006c,=0x6006a,=0x6006a
0x6006e,<&NAME>!<4E>けがはないか？<4C>あれっ？<4E>ケイタイがうごかない・・・<4C>メダルに ヒビがはいっちゃったけど<4E>パパなら なおせるよね<4C>なんてことだ ケイタイから<4E>メダロットがとリだせなくなっている<4C>えっ・・・？<4C>メダルは なおすことが できないんだ,"<@Dad><&NAME>!<49>Are you okay?<4C><@HikaruSad>Huh?<49>My phone isn't working...<4C><@Dad>It looks like your Medal is cracked, I'll fix it for you.<49>What's this? I can't send out the Medarot.<4C><@HikaruSad>...What?<4C><@Dad>I'm sorry, <&NAME>. There's no way for me to fix the Medal."
0x60070,フッフッフッ,<@Taiyo>Fufufuu...
0x60072,なんて きたない やつだ<4C>おおーっと<4E>どうしたことでしょうか!？<4C><&NAME>くんの メダロットが<4E>とつぜん ばくはつしました!？<4C>ひょうしょうしきは ちゅうしして<4E>ごじつ・・・,<@Hikaru>That slimeball...<4C><@Uruchi>What's this?!<4C><&NAME>'s Medarot suddenly exploded!?<4C>I'm afraid we'll have to postpone the awards ceremony...
0x60074,おちこむな <&NAME><4C>メダルをなおす ほうほうは<4E>きっと あるはずだ,"<@DadSad>It's alright, <&NAME>.<4C><@Dad>I'm sure there's a way to fix your Medal."
0x60076,ワンッ ワンッ<4C>どうした？<4C>ワンッ ワウーッ,<@Bonaparte>Wooof wooof!<4C><@HikaruSad>What's wrong?<4C><@Bonaparte>Woof Aarf!
0x60078,ボナパルト どこヘ いくんだ？,"<@Bonaparte>Bonaparte, where are you going?"
