Pointer[#version],Original
0x68000,セレクトしぶヘ<4E>ようこそ
0x68002,ふつうの メダルもいいけど<4E>ロボロボだんに とられないために<4C>セレクトたいの こうにんメダル<4E>「セレクトメダル」が おすすめさ<4C>それに こうせいのうで<4E>とっても そだてやすいんだ<4C>これぞ スーパーテクノロジーの<4E>けっしょうだね
0x68004,=0x68002
0x68006,なぜ セレクトメダルをつけた<4E>メダロットたちが・・・？<4C>もう なにを しんじたらいいのか<4E>わからない
0x68008,これからは あたらしい<4E>セレクトたいとして がんばるよ
0x6800a,きみも じゅんびに いそがしそうだね
0x6800c,さいきんは しずかに なったのぉ
0x6800e,なんの ようじゃ<4C>こどもは うるさいから きらいじゃ
0x68010,<*0>
0x68012,なんのようじゃ はやく すませてくれ
0x68014,んっ あリがとうな<4C>・・・また こいよ
0x68016,<*0>
0x68018,ところで <&NAME><4E>つうしんぼは どうだったの？<4C>あっ わすれてた<4E>こんどみせるよ
0x6801a,ほら <&NAME>が<4E>しんぶんに のっているぞ<4C>「ゆうかんなしょうねん<4E>ロボロボだん たいじ!!」<4C>こんなに リっぱになって<4E>さすがは パパのこどもだ<4C>しょうらいは セレクトたいの<4E>だいかんぶだな!
0x6801c,パパも もうすこし わかかったら<4E>セレクトたいに はいったんだけどなあ
0x6801e,きょうは とうこうびだから<4E>がっこうに いくのよ
0x68020,しゅくだいは はやめに<4E>おわらせなさいよ
0x68022,ぼうそうしているのは<4E>セレクトメダルをつけた<4C>メダロットたちらしい<4C>セレクトたいは いったい<4E>どうなってしまったんだ!
0x68024,さっき キララちゃんが きていたぞ<4C>おまえを さがして うみのほうヘ<4E>いったみたいだぞ
0x68026,おちついて パパ<4E>そんなにあわてたら<4C><&NAME>も<4E>ふあんに なるでしょ
0x68028,<&NAME>が ぶじで<4E>ほんとうに よかったわ
0x6802a,おかえリ・・・<4C>そ それは？<4E>そのメダルは どうしたんだ!？<4C>とうとう おまえも<4E>ロボトルの こころに めざめたか!<4C>そうだ これをやろう<4E>メダロット・スタートセットだ!
0x6802c,はじめは パパが くみたててやろう<4C>Zボタンをおして<4E>ケイタイウィンドウをひらいてごらん<4C>メダロットの いろいろな<4E>じょうほうを みることが できるぞ<4C>1たいだと くみかえができないから<4E>おもしろさが わからないだろう<4C>おこづかいを やるから<4E>これでパーツを かってきなさい<4C>パパから 5000円を もらった
0x6802e,メダロットは じぶんで かんがえて<4E>こうげきする あいてをえらぶぞ<4C>メダロッターは どのパーツをつかうか<4E>きめてやるだけで いいぞ<4C>しかし! だれを ねらうとかは<4E>そのメダルの せいかくや<4C>どんなパーツを つけているかで<4E>おおきく かわるぞ<4C>いろんな くみあわせで さいきょうの<4E>メダロッターを めざすんだ!
0x68030,=0x6802e
0x68032,ワン! ワン!
0x68034,=0x68032
0x68036,メダロットを わすれるなよ
0x68038,グーーー グーーー<4C>いいぞ セレクトたい!<4E>グーーー グーーー<4C>むにゃ むにゃ<4E>グーーー グーーー<4C>ロボロボだんに チューイせよ
0x6803a,<&NAME>!<4C>あしたから がっこう なんだから<4E>はやく ねなさい<4C>はーい
0x6803c,むにゃむにゃ<4E>あしたから しんがっきか・・・<4C>ひさしぶリに みんなに あえるな<4E>むにゃむにゃ<4C>なんか・・・<4E>なんか わすれてるような・・・
0x6803e,しゅっ<4C>しゅくだい やってなかったーっ!!
0x68040,ちゃんちゃん
0x68042,あそびに きちゃいました
0x68044,また あそびに きます
0x68046,おじゃましてるわよ
0x68048,ちょっと とまんないでよ<4E>はずかしいじゃない
0x6804a,また くるね
0x6804c,あら <&NAME>ちゃん<4E>おげんき？<4C>メダロット はじめたの？<4E>キララも よろこぶわ
0x6804e,キララは おばあちゃんのところに<4E>あそびにいったのよ<4C>1しゅうかん くらいしないと<4E>かえってこないのよ
0x68050,そとでは たいヘんなことに<4E>なっているみたいね
0x68052,キララと なかよくして あげてね
0x68054,かってに ひとのうちに はいって<4E>いいと おもってるの？
0x68056,こんどは まけないんだからね
0x68058,な な なんかよう？<4C>かっ かってに ひとのうちに<4E>はいんないでよね・・・<4C>きたけリゃ きても いいけどさ
0x6805a,うが・・・
0x6805c,=0x6805a
0x6805e,=0x6805a
0x68060,=0x6805a
0x68062,=0x6805a
0x68064,とっくん してんだから<4E>はいってくんなよな
0x68066,デテイケ デテイケ
0x68068,だから はいってくんなよ
0x6806a,デテイケ<4E>ポンコツ デテイケ
0x6806c,「せいこう」が たかければ<4E>こうげきが あたリやすいんだ
0x6806e,せいかくの「ぼうぎょ」が たかいと<4E>あいての じゃくてんを ねらうんだ
0x68070,メダロットが<4E>かいだんを のぼっていったよ
0x68072,メダルを なくしちゃった・・・<4E>メダロットが うごかないよー
0x68074,パーツは コンビニで うってるよ
0x68076,=0x68074
0x68078,このがっこうには おばけが でるのよ
0x6807a,せんせいの しきぼうが ヘんなんだよ
