Pointer,Original,Translated
0x74000,"ヘんどうの こうかが はっせいした!<S3c><4E><S02>こうどうせいこうリつが さがった!<S3c><*4>","Inflicted Flux status!<S3c><4E><S02>Success rate down!<S3c><*4>"
0x74002,"ていしの こうかが はっせいした!<S3c><4E><S02>しばらくのあいだ うごけない!<S3c><*4>","Inflicted Stop status!<S3c><4E><S02>Unable to move!<S3c><*4>"
0x74004,"そくばくの こうかが はっせいした!<S3c><4E><S02>スピードが おそくなった!<S3c><*4>","Inflicted Bind status!<S3c><4E><S02>Speed decreased!<S3c><*4>"
0x74006,"けいぞくの こうかが はっせいした!<S3c><4E><S02>いどうちゅうも ダメージを うける!<S3c><*4>","Inflicted Burn status!<S3c><4E><S02>Continual damage!<S3c><*4>"
0x74008,"<&c6a2> は<4E>ヘんどう から かいじょされた!<S3c><*1>","<&MEDA>'s Flux status was cleared!<S3c><*1>"
0x7400a,"<&c6a2> は<4E>ていし から かいじょされた!<S3c><*1>","<&MEDA>'s Stop status was cleared!<S3c><*1>"
0x7400c,"<&c6a2> は<4E>そくばく から かいじょされた!<S3c><*1>","<&MEDA>'s Bind status was cleared!<S3c><*1>"
0x7400e,"<&c6a2> は<4E>けいぞく から かいじょされた!<S3c><*1>","<&MEDA>'s Burn status was cleared!<S3c><*1>"
0x74010,"<&c6a2> は<4E>かいじょするものが なかった!<S3c><*4>","There are no status effects to clear!<S3c><*4>"
0x74012,"<&c6a2> は かいじょに しっぱいした!<S3c><*4>","<&MEDA>'s clear failed!<S3c><*4>"
0x74014,"<&c6a2> は ヘんどうの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Flux status!<S3c><*4>"
0x74016,"<&c6a2> は<4E>ていしの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Stop status!<S3c><*4>"
0x74018,"<&c6a2> は<4E>そくばくの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Bind status!<S3c><*4>"
0x7401a,"<&c6a2> は<4E>けいぞくの こうかを かいじょした!<S3c><*4>","<&MEDA> cleared all Burn status!<S3c><*4>"
0x7401c,"しかし ばくふうで ダメージをうけた<S3c><*4>","...But it took damage from the blast!<S3c><*4>"
0x7401e,"てんたいかんそくじょ","Observatory"
0x74020,"てんたいかんそくじょ","=0x7401e"
0x74022,"ほんたいかいかいじょう","Tournament Hall"
0x74024,"せんしゅホテル","Tournament Hotel"
0x74026,"ゆにゅうひんや","Import Shop"
0x74028,"メダロットけんきゅうじょ","Medarot Laboratory"
0x7402a,"パディのいえ","Paddy's house"
0x7402c,"あがた イネサク<4E>    ヨネ","Inesaku &<4E>Yone Agata"
0x7402e,"イタコのいえ","Wise woman's house"
0x74030,"メダルきねんかん","Medal Museum"
0x74032,"ペットショップ","Pet Shop"
0x74034,"ふくびきしょ","Lottery Shop"
0x74036,"バー","Bar"
0x74038,"むしはかせ けんきゅうじょ","Insect Professor's Lab"
0x7403a,"にんじゃやしき","Ninja Mansion"
0x7403c,"メダロットしゃ","Medarot Company"
0x7403e,"ユウキのいえ","Yuuki's house"
0x74040,"やくば","Town Hall"
0x74042,"あがた ベイスケ<4E>    マイコ <4C>あがた <&NAME><4E>    ボナパルト","Beisuke &<4E>Maiko Agata, <4C><&NAME> Agata, <4E>Bonaparte"
0x74044,"キララのいえ","Kirara's house"
0x74046,"イセキのいえ","Iseki's house"
0x74048,"クボタのいえ","Kubota's house"
0x7404a,"ヤンマのいえ","Yanma's house"
0x7404c,"こっとうひんや","Antiques"
0x7404e,"セレクトしぶ","Select Office"
0x74050,"セレクトほんしゃビル","Select Headquarters"
0x74052,"そんちょうのいえ","Mayor's house"
0x74054,"ねこまねきだ","It's a beckoning cat."
0x74056,"ぽこぽこたぬきだ","Looks like a Tanuki."
0x74058,"みたことのないむしだ","There's a bunch of insects that I've never seen before."
0x7405a,"しんがたパーツが いっぱいある","They're full of new parts."
0x7405c,"す すごいメダルだ!","Cool Medal!"
0x7405e,"ほかのひとの パソコンは<4E>みちゃいけないぞ","I shouldn't mess with other people's computers."
0x74060,"メダロットグッズが やまづみだ","Medarot goods line the shelves."
0x74062,"パーツの じどうはんばいきだ!<4E>だけど ぜんぶ うリきれだ!","It's a vending machine for parts!<4E>...But everything's sold out."
0x74064,"メダロットが でます<4E>エサを あたえないでください","""Please do not feed the Medarots"""
0x74066,"きけん!!<4E>うちゅうじんが でます","""Danger!! Beware of aliens"""
0x74068,"メダル 「<&c6a2>」 は<4E>レベルアップした!<4C><*4>","""<&MEDA>"" Medal leveled up!<4C><*4>"
0x7406a,"メダル 「<&c6a2>」 は<4E>レベルアップした!<4C><*4>","=0x74068"
0x7406c,"メダル 「<&c6a2>」 は<4E>レベルアップした!<4C><*4>","=0x74068"
0x7406e,"メダル 「<&c6a2>」 は<4E>レベルアップした!<4C><*4>","=0x74068"
